dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,1,94,94,0.9749000072479248
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,2,188,188,0.9861999750137329
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,3,282,282,0.9882000088691711
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,4,375,375,0.9902999997138977
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,5,469,469,0.9904000163078308
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,6,563,563,0.9919999837875366
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,7,657,657,0.992900013923645
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,8,750,750,0.9927999973297119
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,9,844,844,0.9929999709129333
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,10,938,938,0.9934999942779541
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,11,1032,1032,0.9934999942779541
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,12,1125,1125,0.9934999942779541
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,13,1219,1219,0.9933000206947327
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,14,1313,1313,0.9944999814033508
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,15,1407,1407,0.9940999746322632
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,16,1500,1500,0.9930999875068665
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,17,1594,1594,0.9927999973297119
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,18,1688,1688,0.9934999942779541
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,19,1782,1782,0.994700014591217
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,20,1875,1875,0.9939000010490417
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,21,1969,1969,0.9944000244140625
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,22,2063,2063,0.9940999746322632
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,23,2157,2157,0.9937000274658203
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,24,2250,2250,0.9937000274658203
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,25,2344,2344,0.9936000108718872
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,26,2438,2438,0.9937000274658203
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,27,2532,2532,0.9937000274658203
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,28,2625,2625,0.9947999715805054
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,29,2719,2719,0.9937000274658203
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,30,2813,2813,0.9944999814033508
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,31,2907,2907,0.9945999979972839
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,32,3000,3000,0.9937000274658203
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,33,3094,3094,0.9945999979972839
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,34,3188,3188,0.9944999814033508
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,35,3282,3282,0.9930999875068665
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,36,3375,3375,0.9951000213623047
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,37,3469,3469,0.9947999715805054
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,38,3563,3563,0.9939000010490417
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,39,3657,3657,0.9954000115394592
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,40,3750,3750,0.9940000176429749
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,41,3844,3844,0.9944999814033508
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,42,3938,3938,0.9947999715805054
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,43,4032,4032,0.9936000108718872
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,44,4125,4125,0.994700014591217
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,45,4219,4219,0.9945999979972839
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,46,4313,4313,0.9944000244140625
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,47,4407,4407,0.9954000115394592
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,48,4500,4500,0.9943000078201294
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,49,4594,4594,0.9943000078201294
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,50,4688,4688,0.9929999709129333
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,51,4782,4782,0.9948999881744385
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,52,4875,4875,0.9950000047683716
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,53,4969,4969,0.9932000041007996
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,54,5063,5063,0.9950000047683716
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,55,5157,5157,0.994700014591217
MNIST,synchronous,20,32,1,0.0,AdvancedCNN,2592202,-1,-1,56,5250,5250,0.9951000213623047
